date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:42:09	13660/13660	---M--	200	added ('OK')	image/png	etag:%225919c29f-355c%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/diagram.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/diagram.png	(from http://kr1.bust-cream.me/)
11:42:10	78585/78585	---M--	200	added ('OK')	image/png	etag:%225919c29f-132f9%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/s8_girl.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/s8_girl.png	(from http://kr1.bust-cream.me/)
11:42:11	17538/17538	---M--	200	added ('OK')	image/png	etag:%225919c29f-4482%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/s6_creme.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/s6_creme.png	(from http://kr1.bust-cream.me/)
11:42:11	25494/25494	---M--	200	added ('OK')	image/png	etag:%225919c29f-6396%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/s9_leaf.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/s9_leaf.png	(from http://kr1.bust-cream.me/)
11:42:14	18666/18666	---M--	200	added ('OK')	image/png	etag:%225919c29f-48ea%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/s10_bust.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/s10_bust.png	(from http://kr1.bust-cream.me/)
11:42:14	18318/18318	---M--	200	added ('OK')	image/png	etag:%225919c29f-478e%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/s11_olive.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/s11_olive.png	(from http://kr1.bust-cream.me/)
11:42:15	6534/6534	---M--	200	added ('OK')	image/png	etag:%225919c29f-1986%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/s11_creme.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/s11_creme.png	(from http://kr1.bust-cream.me/)
11:42:16	4875/4875	---M--	200	added ('OK')	image/png	etag:%225919c29f-130b%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/s12_olive.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/s12_olive.png	(from http://kr1.bust-cream.me/)
11:42:18	6437/6437	---M--	200	added ('OK')	image/png	etag:%225919c29f-1925%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/s13_bg_girl.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/s13_bg_girl.png	(from http://kr1.bust-cream.me/)
11:42:20	76552/76552	---M--	200	added ('OK')	image/png	etag:%225919c29f-12b08%22	http://febatigr.com/content/Bustelle_KR_Pink_sp/img/s10_girl.png	D:/profile/kr1_bust/febatigr.com/content/Bustelle_KR_Pink_sp/img/s10_girl.png	(from http://kr1.bust-cream.me/)
